"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"2134",8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
"2934",6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6
"4582",6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1,6
"2431",6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5
"4690",6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
"678",5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
"3668",5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8
"2851",6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9,5
"203",6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5
"280",7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7
"1525",6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
"4322",6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,6
"2203",7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
"4225",5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,7
"2069",5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6
"4785",6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
"211",5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5
"1422",6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6
"609",6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
"4852",6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
"2102",6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
"3917",7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
"1935",6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6
"2955",6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7
"1049",8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5
"4262",6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7
"2035",7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,5
"1078",7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5
"4271",6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6
"2083",7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6
"394",7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6
"370",7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5
"2164",8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6
"2321",8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6
"3061",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
"1622",8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
"2300",7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7
"1333",7.9,0.16,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3,7
"306",7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6
"2989",7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7
"959",6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7
"909",8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4
"3869",6,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,6
"1545",8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
"2682",7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
"1784",8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
"4473",7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,5
"4442",6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,6
"30",7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
"2572",7,0.16,0.32,1.1,0.032,29,80,0.98972,3.23,0.36,12.1,6
"1169",7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,5
"3760",7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6
"4183",7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,6
"3271",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
"4694",6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
"1382",5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7
"833",7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8
"3223",6.6,0.16,0.34,1.1,0.037,41,115,0.9899,3.01,0.68,12,6
"2059",7.3,0.29,0.37,8.3,0.044,45,227,0.9966,3.12,0.47,9,5
"1173",7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
"2409",7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5
"4748",5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,6
"4162",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
"2330",7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5
"2184",6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5
"479",7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
"3838",8,0.27,0.33,1.2,0.05,41,103,0.99002,3,0.45,12.4,6
"3615",6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5
"1831",7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
"2222",8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
"3505",6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,7
"4005",6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,7
"64",6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
"2488",7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
"3238",6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
"481",6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
"3302",5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
"3799",7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
"3175",6.9,0.36,0.35,8.6,0.038,37,125,0.9916,3,0.32,12.4,8
"3880",6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4
"366",6,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7
"446",7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3
"3767",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"4242",6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,6
"4090",6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6,6
